Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19
Data,0,record,timestamp,1059618600,s,activity_type,5,,heart_rate,137,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059618720,s,activity_type,5,,heart_rate,139,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059618840,s,activity_type,5,,heart_rate,138,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059618900,s,activity_type,5,,heart_rate,136,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059618960,s,activity_type,5,,heart_rate,137,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619020,s,activity_type,5,,heart_rate,135,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619140,s,activity_type,5,,heart_rate,140,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619200,s,activity_type,5,,heart_rate,137,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619320,s,activity_type,5,,heart_rate,133,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619500,s,activity_type,5,,heart_rate,141,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619560,s,activity_type,5,,heart_rate,139,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619620,s,activity_type,5,,heart_rate,139,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059619740,s,activity_type,5,,heart_rate,139,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,activity_type,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620160,s,activity_type,5,,cadence,5,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620220,s,activity_type,5,,cadence,35,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620280,s,activity_type,5,,cadence,12,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,activity_type,1,,heart_rate,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620340,s,activity_type,5,,heart_rate,132,bpm,cadence,26,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,activity_type,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620520,s,activity_type,5,,heart_rate,136,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059620940,s,activity_type,5,,heart_rate,130,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059621000,s,activity_type,5,,heart_rate,138,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059621180,s,activity_type,5,,heart_rate,129,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059621360,s,activity_type,5,,heart_rate,134,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059621480,s,activity_type,5,,heart_rate,132,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622080,s,activity_type,5,,heart_rate,132,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622140,s,activity_type,5,,heart_rate,140,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622260,s,activity_type,5,,heart_rate,142,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622380,s,activity_type,5,,heart_rate,141,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622440,s,activity_type,5,,heart_rate,140,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622620,s,activity_type,5,,heart_rate,136,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622680,s,activity_type,5,,heart_rate,137,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622800,s,activity_type,5,,heart_rate,134,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622860,s,activity_type,5,,heart_rate,135,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059622980,s,activity_type,5,,heart_rate,132,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059623040,s,activity_type,5,,heart_rate,137,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059623520,s,activity_type,5,,heart_rate,135,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,1059623580,s,activity_type,5,,heart_rate,138,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,event,timestamp,1059623740,s,event,0,,event_type,4,,event_group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,length,start_time,1,,timestamp,1,,total_elapsed_time,1,,total_timer_time,1,,total_strokes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059614940,s,timestamp,1059615600,s,total_elapsed_time,660,s,total_timer_time,660,s,total_strokes,20,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059615600,s,timestamp,1059618000,s,total_elapsed_time,2400,s,total_timer_time,2400,s,total_strokes,3,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059618000,s,timestamp,1059620160,s,total_elapsed_time,2160,s,total_timer_time,2160,s,total_strokes,5,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059620160,s,timestamp,1059620220,s,total_elapsed_time,60,s,total_timer_time,60,s,total_strokes,35,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059620220,s,timestamp,1059620280,s,total_elapsed_time,60,s,total_timer_time,60,s,total_strokes,12,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,start_time,1059620280,s,timestamp,1059620340,s,total_elapsed_time,60,s,total_timer_time,60,s,total_strokes,26,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,lap,timestamp,1,,start_time,1,,sport,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,total_calories,1,,max_cadence,1,,avg_cadence,1,,avg_step_length,1,,max_heart_rate,1,,min_heart_rate,1,,avg_heart_rate,1,,first_length_index,1,,num_lengths,1,,total_strokes,1,,,,,,,,,,
Data,0,lap,timestamp,1059623740,s,start_time,1059614940,,sport,5,,total_timer_time,8800,s,total_elapsed_time,8800,s,total_distance,5050,m,total_calories,1319,kcal,max_cadence,35,rpm,avg_cadence,16.833,rpm,avg_step_length,1022,mm,max_heart_rate,158,bpm,min_heart_rate,,bpm,avg_heart_rate,139,bpm,first_length_index,0,,num_lengths,6,,total_strokes,101,strokes,,,,,,,,,
Definition,0,session,timestamp,1,,start_time,1,,sport,1,,sub_sport,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_calories,1,,max_cadence,1,,avg_cadence,1,,avg_step_length,1,,max_heart_rate,1,,min_heart_rate,1,,avg_heart_rate,1,,max_speed,1,,avg_speed,1,,max_altitude,1,,min_altitude,1,,avg_altitude,1,
Data,0,session,timestamp,1059623740,s,start_time,1059614940,,sport,5,,sub_sport,17,,total_elapsed_time,8800,s,total_timer_time,8800,s,total_distance,5050,m,total_calories,1319,kcal,max_cadence,35,rpm,avg_cadence,16.833,rpm,avg_step_length,1022,mm,max_heart_rate,158,bpm,min_heart_rate,,bpm,avg_heart_rate,139,bpm,max_speed,0,m/s,avg_speed,0.574,m/s,max_altitude,0,m,min_altitude,Infinity,m,avg_altitude,0,m
