"Type","Local Number","Message","Field 1","Value 1","Units 1","Field 2","Value 2","Units 2","Field 3","Value 3","Units 3","Field 4","Value 4","Units 4","Field 5","Value 5","Units 5"
"Data",0,"record","timestamp",1049367795,"s","activity_type",10,"","heart_rate",116,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367800,"s","activity_type",10,"","heart_rate",118,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367805,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367810,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367815,"s","activity_type",10,"","heart_rate",122,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367820,"s","activity_type",10,"","heart_rate",122,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367825,"s","activity_type",10,"","heart_rate",122,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367830,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367835,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367840,"s","activity_type",10,"","heart_rate",106,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367845,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367850,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367855,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367860,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367865,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367870,"s","activity_type",10,"","heart_rate",95,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367875,"s","activity_type",10,"","heart_rate",99,"bpm","speed","0.000","m/s",,,
